user_id,password,role
michael.smith@sjsu.edu,welcomemichael,student
david.williams@sjsu.edu,welcomedavid,student
michael.martinez@sjsu.edu,welcomemichael,student
alex.smith@sjsu.edu,welcomealex,student
alex.brown@sjsu.edu,welcomealex,student
jane.garcia@sjsu.edu,welcomejane,student
emily.garcia@sjsu.edu,welcomeemily,student
emma.rodriguez@sjsu.edu,welcomeemma,student
david.brown@sjsu.edu,welcomedavid,student
alex.miller@sjsu.edu,welcomealex,student
david.johnson@sjsu.edu,welcomedavid,student
sarah.garcia@sjsu.edu,welcomesarah,student
laura.johnson@sjsu.edu,welcomelaura,student
laura.martinez@sjsu.edu,welcomelaura,student
laura.williams@sjsu.edu,welcomelaura,student
robert.jones@sjsu.edu,welcomerobert,student
john.williams@sjsu.edu,welcomejohn,student
john.jones@sjsu.edu,welcomejohn,student
john.williams1@sjsu.edu,welcomejohn,student
robert.miller@sjsu.edu,welcomerobert,student
laura.williams1@sjsu.edu,welcomelaura,student
david.miller@sjsu.edu,welcomedavid,student
jane.brown@sjsu.edu,welcomejane,student
alex.davis@sjsu.edu,welcomealex,student
alex.miller1@sjsu.edu,welcomealex,student
michael.williams@sjsu.edu,welcomemichael,student
laura.smith@sjsu.edu,welcomelaura,student
emma.garcia@sjsu.edu,welcomeemma,student
david.miller1@sjsu.edu,welcomedavid,student
sarah.smith@sjsu.edu,welcomesarah,student
alex.davis1@sjsu.edu,welcomealex,student
robert.rodriguez@sjsu.edu,welcomerobert,student
john.garcia@sjsu.edu,welcomejohn,student
alex.davis2@sjsu.edu,welcomealex,student
emily.rodriguez@sjsu.edu,welcomeemily,student
david.rodriguez@sjsu.edu,welcomedavid,student
michael.rodriguez@sjsu.edu,welcomemichael,student
sarah.brown@sjsu.edu,welcomesarah,student
robert.johnson@sjsu.edu,welcomerobert,student
michael.rodriguez1@sjsu.edu,welcomemichael,student
alex.martinez@sjsu.edu,welcomealex,student
michael.williams1@sjsu.edu,welcomemichael,student
emily.miller@sjsu.edu,welcomeemily,student
jane.brown1@sjsu.edu,welcomejane,student
david.miller2@sjsu.edu,welcomedavid,student
emily.williams@sjsu.edu,welcomeemily,student
john.rodriguez@sjsu.edu,welcomejohn,student
robert.johnson1@sjsu.edu,welcomerobert,student
emily.martinez@sjsu.edu,welcomeemily,student
david.jones@sjsu.edu,welcomedavid,student
michael.williams2@sjsu.edu,welcomemichael,student
jane.smith@sjsu.edu,welcomejane,student
david.johnson1@sjsu.edu,welcomedavid,student
john.williams2@sjsu.edu,welcomejohn,student
alex.rodriguez@sjsu.edu,welcomealex,student
laura.johnson1@sjsu.edu,welcomelaura,student
sarah.johnson@sjsu.edu,welcomesarah,student
david.miller3@sjsu.edu,welcomedavid,student
robert.rodriguez1@sjsu.edu,welcomerobert,student
alex.jones@sjsu.edu,welcomealex,student
david.brown1@sjsu.edu,welcomedavid,student
sarah.jones@sjsu.edu,welcomesarah,student
sarah.garcia1@sjsu.edu,welcomesarah,student
michael.garcia@sjsu.edu,welcomemichael,student
laura.brown@sjsu.edu,welcomelaura,student
emily.miller1@sjsu.edu,welcomeemily,student
emma.brown@sjsu.edu,welcomeemma,student
jane.martinez@sjsu.edu,welcomejane,student
alex.davis3@sjsu.edu,welcomealex,student
emma.martinez@sjsu.edu,welcomeemma,student
david.davis@sjsu.edu,welcomedavid,student
jane.martinez1@sjsu.edu,welcomejane,student
robert.miller1@sjsu.edu,welcomerobert,student
david.williams1@sjsu.edu,welcomedavid,student
alex.smith1@sjsu.edu,welcomealex,student
sarah.jones1@sjsu.edu,welcomesarah,student
jane.johnson@sjsu.edu,welcomejane,student
michael.garcia1@sjsu.edu,welcomemichael,student
emily.johnson@sjsu.edu,welcomeemily,student
michael.smith1@sjsu.edu,welcomemichael,student
john.garcia1@sjsu.edu,welcomejohn,student
david.miller4@sjsu.edu,welcomedavid,student
robert.martinez@sjsu.edu,welcomerobert,student
robert.smith@sjsu.edu,welcomerobert,student
jane.johnson1@sjsu.edu,welcomejane,student
david.jones1@sjsu.edu,welcomedavid,student
michael.smith2@sjsu.edu,welcomemichael,student
emma.williams@sjsu.edu,welcomeemma,student
john.miller@sjsu.edu,welcomejohn,student
michael.davis@sjsu.edu,welcomemichael,student
sarah.smith1@sjsu.edu,welcomesarah,student
